amount,sender_balance,receiver_balance,transaction_speed,sender_country,receiver_country,sender_id,receiver_id,transaction_frequency,is_cross_border,high_risk_sender,high_risk_receiver,time_since_last_tx,is_fraud,amount_to_balance_ratio
359139,643636,584080,0,DE,IN,CA00717,CN00207,1,1,0,0,12906,0,0.5579846372794561
1265,1597235,816369,1,JP,FR,JP00117,FR00135,13,1,0,0,32884,0,0.0007919936640506875
224279,108599,742595,3,IN,GB,CA00565,DE00782,9,1,0,0,32025,0,2.0652031786664704
329243,376431,1871858,0,IN,AU,FR00129,CA00732,17,1,0,0,80550,0,0.8746436930008421
258447,1349783,1228747,3,GB,AE,DE00097,DE00521,3,1,0,0,73006,0,0.1914729997340313
616952,1823954,1041099,3,US,CA,GB00977,JP00841,11,1,0,0,45398,0,0.33824975849171635
63234,472587,393433,2,FR,DE,US00910,SG00799,10,1,0,0,46642,0,0.1338039345136451
206318,444875,1517230,3,SG,AE,AU00937,CN00832,10,1,0,0,57092,1,0.463766226468109
790225,522628,1402491,3,US,SG,CA00033,DE00702,17,1,0,0,417,1,1.5120219352962336
322163,857532,1753011,0,CA,US,US00921,US00112,8,1,1,0,70012,0,0.3756862717659516
421279,1722899,181876,0,AE,AE,GB00042,AU00565,7,0,0,0,75161,0,0.24451752540340438
974862,708116,1770748,1,CA,US,AE00314,CN00626,18,1,0,0,67555,1,1.3766981680967525
998172,1565697,932787,3,AU,GB,US00462,AU00888,15,1,0,0,30674,0,0.6375256515149483
446273,278607,1884621,0,IN,FR,GB00744,DE00663,9,1,0,0,26161,0,1.6018011033462907
196312,1739741,559369,0,DE,FR,JP00642,GB00828,14,1,0,0,24359,1,0.11283978477256097
976708,391481,85689,1,GB,CA,CA00601,AU00373,3,1,0,0,35348,0,2.4949052444435362
117412,384725,1928911,1,SG,AE,AE00554,FR00484,16,1,0,0,55275,0,0.3051842224965885
308803,1880468,1433540,1,FR,GB,GB00624,CA00028,7,1,1,0,20493,0,0.16421603558263156
408088,1336367,632891,1,CN,GB,GB00238,AE00432,2,1,0,0,53595,0,0.3053712041677174
224555,647186,1113710,3,JP,JP,US00098,GB00733,10,0,0,0,41001,1,0.34697134981288225
228603,1527417,1925824,0,AE,CN,GB00111,AU00727,15,1,0,0,42129,1,0.14966639758494243
405932,401890,1871867,0,AU,US,FR00130,CN00081,4,1,0,0,24239,1,1.0100574784144916
302481,1817898,1200373,2,GB,AE,JP00879,IN00890,8,1,0,0,36257,1,0.16639052356072784
407933,506501,1498356,1,FR,SG,AE00447,DE00660,3,1,0,1,59783,1,0.8053942637823025
656254,1198001,580575,1,JP,FR,AE00328,DE00114,15,1,0,0,67782,1,0.5477908616102991
328305,1312957,651825,2,IN,FR,IN00724,AE00723,2,1,0,0,54330,1,0.2500500778014817
493633,69605,1253000,1,FR,JP,FR00337,FR00751,8,1,0,0,50106,0,7.091918684002586
253782,793590,741162,3,DE,FR,AE00173,US00355,15,1,1,0,11123,0,0.3197898158998979
374660,1073703,1642629,0,GB,JP,CA00691,SG00013,6,1,0,0,40537,0,0.34894193273186347
314188,1744388,610115,3,AE,FR,CN00373,GB00184,3,1,0,0,24286,1,0.1801135985801324
831597,275337,322641,0,CA,AE,SG00471,AE00477,17,1,0,0,34560,0,3.020287865415836
709118,704361,1595091,0,FR,SG,IN00575,CA00627,17,1,0,0,11511,0,1.006753639114034
72492,955889,531477,3,SG,AU,CA00753,JP00554,18,1,0,0,54157,1,0.07583725725476494
836783,1000489,798471,1,US,DE,AE00834,JP00956,16,1,0,0,58318,0,0.8363740131075904
527276,406070,836372,3,JP,JP,AE00068,DE00269,15,0,0,0,43048,1,1.2984854827985324
834641,1980698,705842,1,DE,DE,CA00054,CA00988,5,0,0,0,83510,1,0.4213873089183712
236498,1357502,1218855,0,SG,US,DE00761,CA00368,2,1,0,0,1769,0,0.17421558126617862
939633,1680252,1925362,2,DE,CN,FR00637,AE00697,12,1,0,0,74195,1,0.5592214739217689
850883,1996759,1359962,2,US,DE,GB00960,DE00513,15,1,0,0,68911,1,0.4261320469821345
703124,1035121,1970104,3,CA,CA,CN00147,SG00887,19,0,0,0,38075,1,0.6792674479601901
714733,843350,180158,0,AU,CN,AU00198,AU00652,3,1,0,0,51248,0,0.8474927372976818
766316,1906232,191594,3,JP,JP,GB00470,JP00291,8,0,0,0,50436,0,0.40200563205318135
819017,1042520,570782,2,DE,AU,US00388,US00180,19,1,0,0,69157,0,0.7856127460384453
352196,1363385,781863,0,GB,AE,AE00320,CA00035,8,1,0,0,61087,0,0.2583246845168459
534159,335594,628167,3,GB,GB,AU00047,IN00267,3,0,0,0,72561,1,1.5916822112433475
308121,931082,1322062,1,IN,AE,FR00706,JP00533,17,1,1,0,13771,0,0.3309278881988912
359371,1718988,681004,2,US,FR,JP00648,JP00629,7,1,1,0,4114,0,0.20905963276067083
927675,607823,769798,0,SG,JP,SG00660,SG00134,3,1,0,0,74775,1,1.5262255623758891
11499,1131293,1393250,3,JP,CA,FR00760,JP00793,8,1,0,0,17426,0,0.01016447551606878
806739,1700101,44213,3,AE,GB,SG00377,DE00208,13,1,0,0,67990,1,0.47452416062339825
704775,895378,993554,1,US,CA,IN00366,JP00920,15,1,0,0,23268,0,0.7871256608940581
879468,1894435,1939615,0,AU,IN,GB00186,AU00693,13,1,0,0,45224,0,0.4642376222989968
807818,817996,165519,0,GB,IN,DE00897,FR00505,15,1,0,0,75668,1,0.9875573963686864
567289,1529304,1595023,1,DE,AE,CA00926,SG00529,7,1,0,0,36586,0,0.3709458681857891
722396,905032,629875,0,CA,IN,FR00115,CN00955,18,1,0,0,68021,1,0.7981994006841747
96291,1469944,1341033,3,JP,GB,AU00544,DE00710,15,1,1,0,70228,0,0.0655065771213053
768814,1919246,1759282,2,CA,DE,SG00824,AE00641,7,1,0,0,82489,0,0.4005812699362145
344682,1480725,1666116,0,CN,SG,CA00951,CN00178,9,1,0,0,35353,0,0.2327792128855797
795394,454945,190466,3,CN,AE,CN00868,IN00820,19,1,0,0,71708,1,1.7483300179142534
322991,1181892,882174,3,JP,SG,AE00196,AU00035,15,1,0,0,69400,1,0.27328300724600896
58571,757141,1297334,1,SG,AE,AU00434,SG00621,7,1,0,0,13286,0,0.07735811427461992
317180,846531,1277098,0,CN,AU,AU00755,GB00299,8,1,0,0,77265,0,0.37468208488525523
573922,446714,1686187,1,SG,JP,IN00651,CA00867,14,1,0,0,34556,1,1.2847638533827013
457637,565196,1839357,2,DE,SG,IN00334,IN00643,9,1,0,0,35832,1,0.809696105421836
770851,106778,771478,3,US,DE,FR00783,AU00492,12,1,1,0,62004,1,7.219193092210006
541623,660907,1402959,0,IN,FR,DE00929,GB00708,13,1,0,0,82252,0,0.81951469722669
305114,1656428,464875,2,CN,AE,SG00443,US00018,14,1,0,0,29971,0,0.18419997730055276
40166,203762,455924,1,AE,CN,DE00802,AU00313,11,1,0,0,41193,0,0.19712213268421
910896,807255,617901,1,IN,IN,JP00842,JP00579,13,0,0,0,71141,1,1.128386940929446
550524,82446,1588590,1,AE,GB,FR00182,AE00240,4,1,0,0,62395,1,6.677388836329234
849862,466319,474362,2,CN,CA,SG00774,AE00309,8,1,0,0,62291,0,1.8224906126492808
237977,164479,1215820,2,GB,SG,SG00957,GB00192,14,1,0,0,21994,1,1.4468533976981863
885983,209498,1276204,2,AU,CA,SG00778,CN00147,16,1,0,0,7392,1,4.229076172564893
73261,1941115,1927626,3,CA,US,FR00440,AU00182,7,1,0,0,57316,1,0.03774171030567483
747758,809335,1519277,0,CA,IN,US00704,JP00322,2,1,0,0,3077,0,0.9239165487715223
715638,1372991,1740300,2,JP,AE,AU00249,CN00559,8,1,0,1,16059,1,0.521225557924269
699070,1799630,1280790,1,CN,AE,FR00412,AE00338,17,1,0,0,82683,0,0.38845207070342236
355215,1439719,722299,1,AU,AE,JP00526,CA00041,11,1,0,0,51299,0,0.24672522902038524
543549,180491,1227980,1,SG,SG,CN00238,DE00659,9,0,0,0,34062,0,3.0115019585464093
370464,496933,1015951,1,CA,DE,AE00919,AU00513,16,1,0,0,67979,0,0.7455009025361568
337595,1915092,1753966,1,FR,FR,AE00607,CA00750,6,0,0,0,17211,0,0.17628134836342066
317645,1642362,1277613,1,AU,GB,CA00658,JP00746,17,1,1,0,37094,1,0.19340742174989436
198504,1426402,1572995,1,CA,FR,IN00023,CA00001,9,1,0,0,20639,0,0.13916413465488692
785664,1936322,159614,2,GB,FR,DE00326,AE00648,7,1,0,0,20584,0,0.4057506964234254
502266,667499,1163038,3,FR,DE,DE00297,JP00094,9,1,0,0,62037,0,0.7524595542465232
291285,516888,1428040,0,US,AE,DE00988,IN00228,18,1,0,0,20312,0,0.5635360078005294
364379,978139,824916,2,JP,DE,AU00724,AU00390,7,1,0,0,16565,0,0.3725227191636363
906596,837194,536268,0,IN,DE,FR00221,AE00408,18,1,0,0,75647,0,1.082898348530926
702613,525889,1114523,0,CA,GB,IN00480,CA00533,12,1,0,0,56217,0,1.3360481014054297
701986,265360,813827,0,CN,CA,CA00440,AU00546,13,1,0,0,45873,1,2.6454100090443173
472430,1684813,825233,1,AE,DE,DE00714,IN00617,9,1,0,0,59147,0,0.280405006371627
847335,1802398,391336,3,IN,SG,FR00483,US00283,12,1,0,0,84035,1,0.4701153685257085
869878,802324,469412,2,AU,DE,AU00460,AE00803,5,1,0,0,45194,0,1.084197905085726
346086,1745911,1747835,1,CA,JP,GB00065,US00468,9,1,0,0,85814,1,0.19822659917945418
37935,1740543,488000,3,CA,IN,SG00973,GB00818,13,1,0,0,75847,0,0.021794922618975802
673218,703808,1293129,2,CN,SG,GB00833,SG00617,17,1,0,0,39336,0,0.9565364417568428
54312,1673708,1479337,1,US,US,SG00744,CN00300,9,0,0,0,17967,0,0.03245010479725257
250846,220532,635618,2,SG,AU,SG00452,CN00915,10,1,0,0,43319,0,1.1374585094226688
198796,388968,1085822,0,SG,CA,FR00791,DE00051,15,1,0,0,40603,1,0.5110857448427634
893879,736753,453982,3,FR,GB,US00616,DE00383,8,1,0,0,66253,0,1.2132682187924582
470988,968718,1074304,2,CA,CN,JP00171,US00114,8,1,0,0,56250,0,0.48619722148241284
468161,1599834,1876898,1,CN,FR,AE00265,JP00962,1,1,0,0,13078,1,0.292630985464742
102271,1893367,793052,1,AU,GB,CN00788,DE00472,19,1,0,0,64941,0,0.054015412754104195
662745,1808327,487389,0,SG,AU,AU00766,CA00718,13,1,0,0,79523,0,0.366496214456788
929026,483633,1723696,1,CN,FR,GB00740,DE00882,4,1,0,0,1256,1,1.9209317809165214
367553,742022,684953,1,US,AU,IN00035,CN00515,17,1,0,0,84670,0,0.49533976081571707
648740,535934,1383494,0,AE,DE,AU00421,GB00756,13,1,0,0,74174,1,1.2104848731373639
335414,66128,46633,3,AE,CA,SG00577,JP00032,13,1,0,0,26596,0,5.0721933220421
590770,548839,1196171,2,CA,JP,AU00118,DE00127,8,1,0,0,59186,1,1.0763994541204251
336964,1711153,771929,2,IN,CA,US00243,SG00737,16,1,0,0,77869,0,0.19692219222944995
69312,1025158,1443570,0,CN,CN,IN00108,AE00370,16,0,0,0,12300,0,0.06761104141995673
315040,726206,1378644,0,FR,US,AU00608,JP00006,16,1,0,0,45424,1,0.4338163000581102
230282,35628,723685,2,AU,DE,US00777,US00687,3,1,0,0,32310,1,6.463511844616594
167419,832115,1671579,0,FR,IN,SG00168,SG00332,13,1,0,0,4852,0,0.20119694994081347
29466,1764197,1079780,3,JP,CN,CN00442,FR00607,13,1,0,0,4252,0,0.01670221636245839
157266,998631,1451432,3,US,CN,US00539,AE00016,16,1,0,0,58980,0,0.1574815922998585
237923,165303,691321,2,US,IN,GB00487,IN00309,4,1,0,0,57449,0,1.4393144710017363
733115,1237817,687699,2,AU,JP,DE00235,SG00800,5,1,0,0,32927,0,0.5922644461984283
959771,498382,427565,3,FR,IN,FR00142,AU00126,2,1,0,0,10582,0,1.9257738040298407
763186,1319467,183624,2,CA,AU,GB00795,AU00636,16,1,0,0,23704,0,0.5784047649543338
789785,1037701,970395,2,JP,SG,FR00687,SG00697,4,1,0,0,43722,1,0.7610911042776292
272118,681284,754197,0,IN,JP,CA00818,SG00551,18,1,0,0,56185,0,0.39941933173243466
45426,573282,828104,0,IN,SG,CA00333,US00676,4,1,0,0,59586,1,0.0792384899578218
240587,1547628,655899,2,DE,AU,DE00180,CA00072,10,1,0,0,38025,0,0.15545531613540206
780176,525140,1347224,1,AE,FR,GB00082,AE00693,13,1,0,0,44597,1,1.4856533495829682
509190,1636355,1012863,3,CA,AE,SG00655,CA00036,14,1,0,0,75835,1,0.3111733089702418
494551,1850540,1979877,0,JP,SG,DE00586,AU00030,12,1,0,0,22763,0,0.26724685767397627
403657,522676,1661172,3,SG,AU,AU00763,JP00565,19,1,0,0,63003,1,0.7722891427959194
36579,368078,1535111,2,IN,AU,AU00222,AU00173,2,1,0,0,23870,0,0.09937839262330267
240313,528282,1376819,1,SG,GB,CA00393,JP00050,13,1,0,0,57041,0,0.4548953021303016
376785,1524913,1905248,3,SG,SG,IN00125,AU00518,10,0,1,0,83573,1,0.24708622721427387
178181,1133117,801403,3,GB,CN,JP00699,FR00620,8,1,0,0,76423,0,0.1572485453841042
339077,1246667,306333,2,SG,US,AE00197,CN00699,16,1,0,0,86107,1,0.27198682567197174
99242,1294830,1841693,2,CN,DE,FR00575,US00509,13,1,0,0,53508,0,0.07664481051566614
795057,1367328,907713,1,SG,IN,DE00500,US00774,17,1,0,0,56154,0,0.5814676507758197
532274,943322,762432,0,JP,GB,AE00159,DE00926,15,1,0,0,48161,0,0.5642548355704626
388644,754758,1050958,1,CA,CN,IN00952,IN00831,19,1,0,0,69389,0,0.5149253138091945
324639,1060602,717710,0,JP,AU,AU00255,DE00581,9,1,0,0,84070,0,0.3060893718850238
682204,1918544,400209,0,CN,US,US00408,CN00583,4,1,0,0,78876,0,0.3555842347113228
902280,219934,1891729,3,GB,FR,CN00928,CN00665,13,1,0,0,55773,0,4.102503478316222
575833,553386,1855072,3,CN,US,DE00441,GB00871,9,1,0,0,78822,1,1.0405630066535836
408962,1833058,1616460,3,CN,CA,SG00257,JP00751,17,1,0,0,10584,0,0.22310368793567906
303609,1223004,650826,1,AU,SG,JP00386,JP00695,8,1,0,0,51589,0,0.24824857482068743
309039,1230671,399249,2,SG,AE,DE00602,SG00137,9,1,0,0,1824,0,0.2511142295544463
346022,769923,1200071,1,SG,DE,US00458,IN00124,11,1,0,0,75205,0,0.44942416319554035
278400,1305780,1557883,2,GB,SG,DE00115,CN00772,3,1,1,0,14058,1,0.21320589992188577
19693,46143,177620,0,AU,GB,CA00050,SG00127,2,1,0,0,33098,0,0.4267819604273671
759987,1267131,804276,3,DE,AU,JP00604,CN00374,11,1,0,0,15419,0,0.5997698738330922
398488,1895854,407064,3,SG,IN,AU00067,GB00400,9,1,0,0,73627,0,0.21018918123441996
908910,1883235,388205,3,SG,DE,FR00621,DE00167,17,1,0,0,8672,0,0.48263227903049805
349479,1940966,1971317,2,AU,AU,GB00883,AU00315,13,0,0,0,38358,0,0.18005415859937784
592773,858161,651116,1,DE,US,GB00614,GB00862,7,1,0,0,78464,0,0.6907480064929541
706895,1646644,481502,1,FR,SG,DE00989,IN00319,13,1,0,0,67767,1,0.4292943708536879
801222,10861,166847,3,AU,DE,IN00887,US00853,9,1,0,0,10426,0,73.77055519749563
591767,1685773,41251,1,SG,DE,JP00853,SG00678,13,1,0,0,70528,0,0.3510359935768339
543269,1376395,1629703,3,IN,AE,JP00406,CN00368,18,1,0,0,27357,1,0.39470428183769923
323786,1311073,464642,1,AU,SG,FR00113,CN00440,10,1,0,0,11977,1,0.24696260238751008
665298,583789,1983783,0,CN,SG,GB00535,AU00388,1,1,0,0,85145,1,1.1396206506117792
33643,1355965,1516699,1,AU,CN,AU00365,US00829,11,1,0,0,74395,0,0.024811112381219278
864960,93831,885266,0,IN,US,FR00131,AE00227,7,1,0,0,69759,1,9.21827541004572
986706,1284397,951224,3,AE,AE,JP00510,IN00858,15,0,0,0,21923,0,0.7682250892831423
72947,1441448,1959848,1,SG,CN,FR00076,AU00603,8,1,0,0,78128,0,0.050606750989283
986962,192519,1715076,1,FR,AE,SG00778,GB00490,8,1,0,0,62739,0,5.126569325625003
737674,1028423,1910625,0,DE,IN,IN00055,GB00330,11,1,0,0,9859,1,0.7172865639916649
879570,1590988,767535,1,CA,JP,CA00900,AE00324,2,1,0,0,31495,1,0.5528451503091161
203893,671070,1134164,1,FR,AE,AE00972,GB00883,5,1,0,0,11143,0,0.30383268511481665
954643,1845333,1145049,0,GB,CN,US00268,US00668,11,1,0,0,85366,0,0.5173283087659517
152064,306708,1382316,0,FR,CA,JP00327,AU00436,18,1,0,0,2477,1,0.49579404515043624
75355,1101141,74664,1,GB,JP,JP00457,AU00479,11,1,0,0,11399,0,0.0684335611878951
95175,1361552,1237328,1,SG,DE,DE00559,AE00702,1,1,0,0,74306,0,0.06990184730366523
643514,193119,1669326,1,DE,US,FR00660,CN00493,12,1,0,0,67040,1,3.3322148519824566
114828,1338693,384784,3,SG,JP,DE00600,US00459,14,1,0,0,9553,0,0.0857762011155657
285002,347081,617207,0,AU,JP,AU00124,FR00589,13,1,0,0,14640,1,0.8211397339525932
552178,323343,772558,0,US,JP,GB00444,CA00396,12,1,0,0,10576,0,1.707715954883823
28990,234993,472923,1,FR,AE,US00927,JP00656,13,1,0,0,16616,0,0.12336537684101229
705311,1286699,688699,2,FR,AU,SG00188,FR00394,11,1,0,0,30172,1,0.5481553960949686
221732,607186,570479,1,AE,CA,JP00076,AU00810,15,1,1,0,28574,1,0.3651796978191197
43303,282869,359119,1,GB,DE,GB00375,AU00372,19,1,0,0,46958,0,0.15308499694204739
235288,1229917,1784429,3,US,AU,IN00992,GB00877,17,1,0,0,49514,0,0.1913039660399848
423664,326327,1192347,2,IN,AU,CA00283,CN00185,7,1,0,0,33223,0,1.2982805590711157
774901,413236,1058095,0,CN,FR,GB00011,GB00613,11,1,0,0,86156,0,1.8752020637117772
938560,1386202,283807,0,FR,IN,JP00773,JP00434,18,1,0,0,34149,1,0.6770730384172003
46297,1204215,718040,0,IN,AU,GB00789,AU00083,1,1,0,0,7988,0,0.038445792487221964
891465,11638,1187398,3,IN,CA,AE00994,AU00656,3,1,0,0,20868,0,76.59950163258291
303610,364045,1961100,1,DE,IN,US00812,IN00116,11,1,0,0,77224,1,0.8339903033965581
495003,1495746,1727780,1,SG,GB,AE00458,CA00111,19,1,0,0,13178,0,0.33094054739240486
700970,434179,1611518,0,IN,FR,CA00564,CA00959,19,1,0,0,35748,0,1.6144723719940393
25639,27366,1452593,3,AU,FR,AU00930,FR00001,5,1,0,0,27166,0,0.9368924943360374
280796,1132485,319504,2,AE,FR,AU00933,SG00394,8,1,0,0,32336,0,0.2479467719219239
242500,66443,1916928,2,GB,FR,FR00004,GB00529,5,1,0,0,38628,0,3.6497448941197717
590265,553197,400983,3,IN,US,AE00798,IN00733,15,1,0,0,22618,1,1.067006870970016
152712,28353,1638611,0,AU,AE,US00337,CN00307,5,1,0,0,43817,1,5.386096709342927
386964,15363,430990,3,SG,CN,AE00750,IN00187,2,1,0,0,15961,0,25.18804920913884
7873,1978473,705691,0,CA,US,GB00258,CA00445,9,1,0,0,72577,0,0.003979331534976722
395779,1040291,205175,0,IN,JP,US00439,JP00570,18,1,0,0,27765,0,0.38045027785494634
165909,1307855,134069,3,AE,DE,DE00195,JP00882,19,1,0,0,57626,1,0.12685580588062131
697357,302001,922487,3,JP,FR,AU00103,AE00197,18,1,1,0,32614,1,2.309121492975189
290519,62732,1449453,1,DE,CN,GB00597,GB00296,8,1,0,0,1741,1,4.63111330740292
805988,1919019,52788,0,US,AE,AE00272,CN00212,2,1,0,0,35621,0,0.42000001042199164
5348,291072,897624,3,AE,FR,CA00966,JP00045,2,1,0,0,80700,1,0.018373460861917327
319037,1193532,1603036,3,GB,CN,AE00380,IN00333,14,1,0,0,52728,1,0.26730494029485596
102156,661451,199444,0,SG,GB,AU00033,JP00140,5,1,0,1,62507,0,0.15444227917109507
94787,1156528,462606,1,IN,GB,IN00163,GB00009,13,1,0,0,70439,1,0.0819582405268182
778789,1461147,1720140,2,GB,AU,CA00247,JP00420,12,1,1,0,37345,1,0.532998390990092
518588,536141,1734041,1,IN,JP,IN00200,JP00028,13,1,0,0,7515,1,0.9672604781204944
974605,1901746,320005,2,IN,US,DE00682,FR00190,1,1,0,0,38717,0,0.5124790587176206
526385,731794,875387,1,DE,JP,IN00858,DE00027,8,1,0,0,27948,1,0.7193076193573601
839266,152946,294678,2,SG,SG,AE00540,US00532,2,0,0,0,11167,0,5.487335399422018
698435,590316,830809,1,JP,US,FR00016,AU00628,3,1,0,0,7665,0,1.1831544460932788
494467,1289488,91945,0,AE,CA,FR00850,AE00293,12,1,0,0,66958,0,0.3834599468936508
803977,1017109,1540366,2,AU,AE,AU00189,CN00374,6,1,0,0,47613,0,0.7904531372743727
803868,779312,1559630,1,DE,DE,DE00597,AE00176,10,0,0,0,72976,0,1.031509844580861
410421,783567,579941,2,CN,FR,US00948,JP00520,14,1,0,0,52308,0,0.5237854580399633
337011,1762557,1036341,3,DE,CA,AE00914,CN00608,16,1,0,0,69042,1,0.19120573121890527
62520,1561300,1519552,1,IN,JP,AU00562,US00376,9,1,0,0,73701,0,0.04004355344904887
428850,1921381,355565,3,AE,IN,DE00752,GB00009,6,1,0,0,52430,0,0.2231988345882467
832630,696571,1740856,0,US,IN,GB00529,GB00222,12,1,0,0,55839,0,1.1953268223914002
595602,403267,1567353,1,GB,FR,DE00705,US00072,11,1,0,0,13046,1,1.4769420755975569
